Fecha,Hora,Divisa,Importancia,Evento,Actual,Prevision,Anterior
1 de diciembre de 2020",02:00,  CNY,,PMI manufacturero (Nov),"52,1","51,5","51,4"
1 de diciembre de 2020",11:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
1 de diciembre de 2020",14:00,  EUR,,IPC de Alemania (Anual) (Nov)  ,"-0,3%","-0,1%","-0,2%"
1 de diciembre de 2020",16:00,  USD,,Venta de viviendas pendientes (Mensual) (Oct),"-1,1%","1,0%","-2,0%"
2 de diciembre de 2020",02:45,  CNY,,PMI manufacturero de Caixin (Nov),"54,9","53,5","53,6"
2 de diciembre de 2020",04:30,  AUD,,Decisión de tipos de interés (Dic),"0,10%","0,10%","0,10%"
2 de diciembre de 2020",04:30,  AUD,,Comunicado sobre tipos del RBA  , , , 
2 de diciembre de 2020",09:55,  EUR,,PMI manufacturero de Alemania (Nov),"57,8","57,9","57,9"
2 de diciembre de 2020",09:55,  EUR,,Cambio del desempleo en Alemania (Nov),-39K,8K,-38K
2 de diciembre de 2020",10:30,  GBP,,PMI manufacturero (Nov),"55,6","55,2","55,6"
2 de diciembre de 2020",11:00,  EUR,,IPC en la zona euro (Anual) (Nov)  ,"-0,3%","-0,2%","-0,3%"
2 de diciembre de 2020",14:30,  CAD,,PIB (Mensual) (Sep),"0,8%","0,9%","0,9%"
2 de diciembre de 2020",16:00,  USD,,"Comparecencia de Powell, presidente de la Fed  ", , , 
2 de diciembre de 2020",16:00,  USD,,PMI manufacturero del ISM (Nov),"57,5","58,0","59,3"
2 de diciembre de 2020",18:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
3 de diciembre de 2020",01:30,  AUD,,PIB (Trimestral) (3T),"3,3%","2,6%","-7,0%"
3 de diciembre de 2020",14:15,  USD,,Cambio del empleo no agrícola ADP (Nov),307K,410K,404K
3 de diciembre de 2020",16:00,  USD,,"Comparecencia de Powell, presidente de la Fed  ", , , 
3 de diciembre de 2020",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-0,679M","-2,358M","-0,754M"
4 de diciembre de 2020",10:30,  GBP,,PMI compuesto (Nov),"49,0","47,4","52,1"
4 de diciembre de 2020",10:30,  GBP,,PMI de servicios (Nov),"47,6","45,8","51,4"
4 de diciembre de 2020",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,712K,775K,787K
4 de diciembre de 2020",16:00,  USD,,PMI no manufacturero del ISM (Nov),"55,9","56,0","56,6"
6 de diciembre de 2020",01:30,  AUD,,Ventas minoristas (Mensual) (Oct),"1,4%","1,6%","-1,1%"
6 de diciembre de 2020",05:30,  INR,,Decisión de tipos de interés,"4,00%","4,00%","4,00%"
6 de diciembre de 2020",10:30,  GBP,,PMI del sector de la construcción (Nov),"54,7","52,0","53,1"
6 de diciembre de 2020",14:30,  USD,,Nóminas no agrícolas (Nov),245K,469K,610K
6 de diciembre de 2020",14:30,  USD,,Tasa de desempleo (Nov),"6,7%","6,8%","6,9%"
6 de diciembre de 2020",14:30,  CAD,,Cambio del empleo (Nov),"62,1K","20,0K","83,6K"
7 de diciembre de 2020",11:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
7 de diciembre de 2020",16:00,  CAD,,PMI de Ivey (Nov),"52,7","54,7","54,5"
